Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1,c_6,c_8,c_12,c_1,0.9723,0.08612704
model_2,c_6,c_8,c_12,c_2,0.9729,0.08124219
model_3,c_6,c_8,c_12,c_3,0.9731,0.08421931
model_4,c_6,c_8,c_12,c_4,0.972,0.09259643
model_5,c_6,c_8,c_12,c_5,0.9714,0.0882665
model_6,c_6,c_8,c_12,c_6,0.9722,0.088481784
model_7,c_6,c_8,c_12,c_7,0.9712,0.0856306
model_8,c_6,c_8,c_12,c_8,0.9739,0.08361128
model_9,c_6,c_8,c_12,c_9,0.9739,0.08354344
model_10,c_6,c_8,c_12,c_10,0.9726,0.0873417
model_11,c_6,c_8,c_12,c_11,0.9738,0.08458214
model_12,c_6,c_8,c_12,c_12,0.9732,0.08105473
model_13,c_6,c_8,c_12,m_1,0.9728,0.08412163
model_14,c_6,c_8,c_12,m_2,0.9728,0.08484273
model_15,c_6,c_8,c_12,m_3,0.9741,0.08546815
model_16,c_6,c_8,c_12,s,0.9744,0.08299296
