Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_889,c_2,c_2,c_2,s,0.6957,0.9020025612831116
model_890,c_12,m_2,m_3,m_2,0.716,0.8627252870559693
model_891,c_7,c_3,c_2,m_3,0.7007,0.8564022744178772
model_892,c_11,c_3,s,-,0.7029,0.8693831643104554
model_893,c_9,c_8,m_2,m_2,0.7551,0.7317076828956603
model_894,c_12,c_3,c_4,c_1,0.727,0.8072352704048157
model_895,c_5,c_11,c_1,c_10,0.7166,0.82432064371109
model_896,c_7,c_9,c_9,c_7,0.7491,0.7439354166030884
model_897,c_7,c_6,c_6,m_1,0.7404,0.849855474281311
model_898,c_3,c_2,c_5,c_3,0.6988,0.8507229375839234
model_899,c_5,c_12,c_3,c_11,0.7296,0.8124551387786865
model_900,c_2,c_6,m_3,c_6,0.7513,0.7251342091560363
model_901,m_3,c_9,c_2,c_6,0.7011,0.8798382689476013
model_902,c_6,c_11,c_9,c_2,0.7209,0.8606910946846008
model_903,c_2,m_1,c_12,c_3,0.7698,0.7331868835449219
model_904,c_11,c_11,c_9,c_10,0.738,0.8011596904754639
model_905,c_4,c_5,m_2,m_2,0.726,0.7895805150985717
model_906,c_2,c_7,m_2,c_12,0.7611,0.7421512608528137
model_907,m_3,c_6,c_3,c_7,0.7002,0.8787755331993103
model_908,c_7,m_3,s,-,0.7375,0.7793869743347168
model_909,c_9,c_7,c_7,c_2,0.725,0.8405429071426391
model_910,c_8,c_7,c_11,s,0.677,0.958724754524231
model_911,c_5,c_8,c_5,c_6,0.72,0.8177773091316223
model_912,c_8,c_5,c_10,m_2,0.6538,1.076403322982788
model_913,c_1,c_12,c_10,m_3,0.7197,0.8215270298957825
model_914,c_9,c_4,c_5,c_9,0.7022,0.871425820350647
model_915,c_3,c_10,c_3,c_5,0.739,0.7926198868751526
model_916,c_11,m_1,c_10,m_2,0.7047,0.8654320244789123
model_917,c_11,c_9,s,-,0.7375,0.8152108867645264
model_918,c_5,c_6,m_2,c_10,0.6898,0.8871242944717407
model_919,c_10,c_10,m_3,c_7,0.7597,0.7023822916984558
model_920,c_9,c_3,m_2,c_2,0.7471,0.7470782782554627
model_921,c_1,c_1,c_12,c_4,0.7258,0.8162831418991089
model_922,c_2,m_3,m_3,c_3,0.6894,0.894031057548523
model_923,c_7,c_8,m_3,c_9,0.7635,0.6926734360694885
model_924,c_12,m_2,c_9,c_5,0.7626,0.6956959652900696
model_925,c_2,c_10,c_3,c_3,0.6998,0.8970582948684692
model_926,c_9,m_3,c_5,c_1,0.7455,0.7539090006828308
model_927,c_4,c_6,c_11,s,0.711,0.8482013600349426
model_928,c_5,c_12,c_7,m_2,0.7215,0.8220334564208984
model_929,c_1,c_5,c_10,c_9,0.7282,0.8140822628974914
model_930,c_3,c_2,c_9,c_1,0.7433,0.780089678478241
model_931,c_8,c_3,m_1,c_2,0.7091,0.8362172142982482
model_932,c_10,c_6,s,-,0.6832,0.9411972135543824
model_933,c_9,c_2,c_6,m_2,0.7411,0.7586857668876648
model_934,c_3,c_6,c_7,c_3,0.6891,0.9219808902740478
model_935,c_7,c_4,c_5,c_8,0.7342,0.785833654499054
model_936,c_10,c_11,c_3,c_11,0.7433,0.7767630148887634
model_937,c_7,c_10,c_2,m_2,0.6946,0.8837661982536316
model_938,c_7,c_9,c_2,m_2,0.738,0.7884788571834564
model_939,c_3,c_11,c_8,c_11,0.7302,0.7891441991806031
model_940,m_1,m_1,c_2,c_1,0.6393,1.0189261709213258
model_941,c_3,c_3,c_1,c_1,0.6986,0.8733334017753601
model_942,c_1,m_3,c_8,m_2,0.7361,0.7713797513961792
model_943,c_12,c_7,s,-,0.6822,0.9580085474014283
model_944,c_10,c_7,c_11,c_10,0.7295,0.7838135235786438
model_945,c_6,c_3,m_2,c_2,0.7147,0.8241386244773865
model_946,c_8,m_2,m_1,c_5,0.7149,0.8247152726173401
model_947,c_5,m_3,c_1,c_9,0.7443,0.7691095387458802
