Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_651,c_4,m_1,m_2,c_6,0.7382,0.7873152376174927
model_652,c_2,m_1,c_11,c_8,0.751,0.7672568353652954
model_651,c_4,m_1,m_2,c_6,0.7384,0.8206666843414306
model_652,c_2,m_1,c_11,c_8,0.7134,0.9060595498085022
model_653,c_12,c_9,c_10,c_3,0.7353,0.7889003453254699
model_654,c_4,c_4,m_3,m_1,0.7237,0.8246011817932128
model_655,c_10,c_4,c_2,c_2,0.731,0.7900092338562011
model_656,c_4,c_11,s,-,0.6618,0.9843284395217895
model_657,c_3,c_10,c_1,c_9,0.7367,0.848840385723114
model_658,c_2,c_6,m_3,c_1,0.7385,0.7883651655197144
model_659,c_8,m_3,c_7,c_7,0.7308,0.7887975419998169
model_660,c_11,c_5,c_3,c_12,0.7692,0.7389128165245056
model_661,c_12,c_8,s,-,0.7059,0.8808834659576416
model_662,c_12,c_2,c_1,c_7,0.7053,0.8600726573944092
model_663,c_1,c_9,c_6,c_8,0.7021,0.9667701166152954
model_664,c_6,m_1,c_11,c_6,0.7628,0.7481165383815765
model_665,c_10,m_1,c_10,c_6,0.7624,0.701078633260727
model_666,c_8,c_4,c_8,c_12,0.76,0.7567760779380799
model_667,c_5,c_2,m_1,c_11,0.6695,0.9438363490104675
model_668,m_1,c_7,c_11,c_9,0.7106,0.9378677419662476
model_669,c_12,c_10,m_2,c_8,0.7511,0.7367129685401916
model_670,c_1,c_12,m_1,c_1,0.72,0.8145927112579345
model_671,c_8,c_8,c_1,c_11,0.7407,0.8046840808868408
model_672,c_4,c_1,c_8,c_1,0.7134,0.8430828099250793
model_673,c_9,c_2,c_5,m_3,0.7408,0.7756758425712585
model_674,c_12,m_3,c_11,c_10,0.7916,0.6390188099861145
model_675,c_4,c_4,c_4,c_2,0.7141,0.8574914370536805
model_676,c_9,c_2,c_1,c_3,0.7139,0.8436384592056274
model_677,c_11,m_3,m_2,c_4,0.7125,0.8338005321502685
model_678,c_9,c_8,c_6,m_2,0.6722,0.9478046305656433
model_679,c_7,c_5,m_2,c_6,0.7377,0.7601529001235962
model_680,c_6,c_9,c_7,c_9,0.7261,0.8169425430297852
model_681,c_9,c_12,c_8,c_2,0.7576,0.74069532995224
model_682,c_11,c_4,c_10,c_7,0.6954,0.9216839712142945
model_683,c_8,c_8,c_3,c_9,0.7161,0.8556530501365661
model_684,c_4,c_1,c_9,c_8,0.7225,0.8127033992767334
model_685,c_12,c_5,c_1,s,0.7389,0.7857728063583374
model_686,c_9,m_3,s,-,0.7018,0.8568197472572326
model_687,c_6,c_4,c_4,c_9,0.7261,0.8127667612075805
model_688,c_3,c_3,c_6,m_1,0.7205,0.801519529247284
model_689,c_2,m_2,c_1,s,0.6993,0.8834669091224671
model_690,c_11,m_1,c_6,m_2,0.7514,0.7274690393447876
model_691,m_3,s,-,-,0.6918,0.8995718562126159
model_692,c_11,c_12,c_4,c_3,0.7507,0.7431709776878357
model_693,c_5,c_1,c_11,c_6,0.7361,0.8040298741340637
model_694,c_12,c_5,c_7,c_7,0.7301,0.8160190559387207
model_695,c_3,c_8,c_11,c_9,0.7294,0.8315477882385254
model_696,c_7,c_4,c_6,m_2,0.7314,0.7972717476844787
model_697,c_3,c_6,c_1,m_1,0.7174,0.8222485933303832
model_698,m_1,m_2,c_4,c_5,0.6725,0.9412686081886291
model_699,c_10,c_2,c_2,c_7,0.7007,0.9378968178749084
model_700,c_8,c_2,m_3,c_12,0.775,0.6638746688842774
model_701,c_3,c_4,c_6,s,0.7029,0.8845718175888061
model_702,c_8,m_1,c_6,m_3,0.7405,0.7525880596160889
model_703,c_7,c_1,c_6,c_12,0.7201,0.8099296723365784
model_704,c_2,c_4,c_3,c_11,0.7389,0.7797321410179138
model_705,c_1,m_2,c_7,s,0.7143,0.8368291991233826
model_706,c_10,c_4,c_3,m_3,0.7111,0.8283148056983948
model_707,c_6,m_2,c_8,c_12,0.7689,0.7100853930950165
model_708,c_2,m_2,c_6,c_9,0.7344,0.7982050605773926
model_709,c_11,c_10,m_3,s,0.7379,0.7665145497322082
model_710,c_6,c_7,c_6,c_3,0.7286,0.8116306635856628
model_711,c_6,c_2,c_11,c_10,0.7313,0.8197697162628174
model_712,c_4,m_1,c_6,c_5,0.7154,0.8363990009307861
model_713,c_10,c_2,m_3,c_8,0.7454,0.7400028546333313
model_714,c_3,c_12,m_3,c_1,0.7612,0.6971868226051331
model_715,c_6,c_11,c_10,c_1,0.7444,0.7812703534126282
model_716,m_3,c_4,c_9,-,0.6867,0.9399844210624695
model_717,c_8,c_1,c_4,c_1,0.6849,0.9652672207832337
model_718,c_3,c_1,c_6,m_3,0.721,0.8069136542320251
model_719,c_9,c_5,c_7,c_3,0.7149,0.8252345176696777
model_720,c_2,c_9,c_4,c_9,0.7431,0.7962485740661621
model_721,c_1,c_11,m_2,c_8,0.7534,0.7372681373596192
model_722,c_12,m_1,m_3,c_12,0.7666,0.7046747214794159
model_723,c_11,c_3,m_2,m_1,0.744,0.7343831968307495
model_724,c_9,c_7,c_1,c_11,0.7163,0.8495640209197998
model_725,c_10,m_2,c_2,c_6,0.766,0.7099362362861633
model_726,c_2,m_3,c_9,c_8,0.7645,0.7154064701080323
model_727,c_4,c_8,c_11,c_9,0.754,0.7621534682273865
model_728,m_1,m_1,c_9,m_2,0.6532,1.0735372005462647
model_729,m_1,c_4,c_1,m_3,0.6405,1.0190469762802123
model_730,c_5,c_4,c_2,c_6,0.6882,0.9364967061042786
model_731,c_2,c_2,s,-,0.7024,0.8588676471710205
model_732,c_7,c_5,c_12,c_8,0.7268,0.8398371852874756
model_733,c_1,m_3,c_4,c_2,0.7161,0.825751035118103
model_734,m_2,c_2,c_3,s,0.6809,0.9677875475883484
model_735,c_2,c_1,c_4,s,0.715,0.8510504465103149
model_736,c_3,c_10,c_3,m_3,0.7434,0.7453223551750183
model_737,c_1,m_1,s,-,0.676,0.9445335619926453
model_738,c_12,c_4,m_1,c_3,0.7028,0.8609849370956421
model_739,c_9,c_2,c_5,c_1,0.72,0.8273063131332398
model_740,c_11,c_11,c_4,c_1,0.7258,0.858274862575531
model_741,c_4,c_9,c_4,c_2,0.729,0.7992984881401062
model_742,m_2,c_11,c_5,m_3,0.7296,0.787797976398468
model_743,c_3,c_11,c_4,m_3,0.7274,0.7873679196357727
model_744,c_12,c_12,s,-,0.7338,0.794752362537384
model_745,c_8,m_1,m_1,m_3,0.6981,0.9331337324142456
model_746,c_7,c_4,m_3,m_1,0.7044,0.8544945613861084
model_747,m_1,s,-,-,0.6512,1.0135904364585877
model_748,c_10,c_6,c_9,c_10,0.756,0.7291960111618042
model_749,c_1,c_10,c_5,c_7,0.7124,0.8525966891288758
model_750,c_9,c_9,c_11,c_3,0.7456,0.7602386697769165
model_751,c_3,c_11,c_10,m_2,0.7239,0.8182396158218384
model_752,c_10,m_1,c_7,c_12,0.7609,0.732797025680542
model_753,c_1,c_6,m_2,c_7,0.7296,0.8148115259170532
model_754,c_6,c_6,c_9,c_3,0.751,0.7692899951934814
model_755,c_11,c_12,c_2,c_11,0.74,0.7633824373245239
model_756,c_1,c_5,c_6,m_1,0.7208,0.841520665550232
model_757,c_4,c_8,m_2,c_1,0.7143,0.8265151773452759
model_758,c_8,c_5,c_9,m_3,0.7238,0.8241757442474366
model_759,c_12,m_1,m_1,c_11,0.717,0.8256935468673706
model_760,c_4,c_8,c_8,s,0.7129,0.8653209074020386
model_761,c_3,c_6,c_8,c_4,0.6805,0.9358321251869202
model_762,c_5,c_3,c_12,s,0.7406,0.7878658796310425
model_763,c_7,m_1,c_4,m_3,0.6938,0.891427057647705
model_764,c_11,m_1,c_10,c_9,0.763,0.7275709463119506
model_765,c_1,c_5,m_1,c_5,0.7384,0.8316090661048889
model_766,c_6,c_2,m_2,c_5,0.73,0.787091097831726
model_767,c_3,c_11,c_3,c_2,0.7404,0.7837568692207336
model_768,c_9,m_1,c_3,s,0.7299,0.8001178539276123
model_769,c_8,m_3,c_11,m_3,0.7329,0.7718643502235413
model_770,c_10,s,-,-,0.6754,0.9523593212127686
model_771,c_7,c_6,c_11,m_2,0.7188,0.8405251194000244
model_772,c_3,c_4,c_4,c_3,0.7147,0.8589968161582947
model_773,c_7,c_9,c_2,c_2,0.7228,0.8166453781127929
model_774,c_8,c_9,m_3,c_10,0.749,0.7290874733924866
model_775,c_4,m_2,c_7,s,0.6748,0.9364830389022827
model_776,c_1,c_5,c_8,c_2,0.7282,0.8328195712089539
model_777,c_4,c_8,c_6,c_9,0.748,0.7417668376922607
model_778,c_2,c_6,m_2,c_10,0.7262,0.8881399998664856
model_779,c_7,c_4,c_2,c_2,0.735,0.7891654984474182
model_780,c_3,c_7,m_3,c_8,0.7321,0.7756573317527771
model_781,c_11,c_8,c_12,c_10,0.7457,0.789998849773407
model_782,c_4,c_7,m_3,c_11,0.7509,0.7484703566551208
model_783,c_6,c_1,c_12,c_3,0.7341,0.7908830810546875
model_784,c_3,c_4,m_3,c_10,0.729,0.821863320350647
model_785,c_12,c_6,c_6,m_2,0.734,0.7872090271949768
model_786,c_7,c_10,m_2,s,0.6695,0.9905575039863587
model_787,c_4,m_2,m_3,m_1,0.6439,1.0684454799652099
model_788,c_10,c_9,c_8,c_3,0.7348,0.7638776995658875
model_789,c_5,m_3,c_2,m_1,0.7,0.8703105069160462
model_790,c_2,c_2,m_2,s,0.7083,0.8720791672706604
model_791,c_6,c_3,c_2,c_1,0.7109,0.8460800221443177
model_792,c_8,c_7,c_5,c_12,0.7191,0.8306212075233459
model_793,c_5,c_9,c_8,c_6,0.6977,1.0065902040481567
model_794,c_7,m_1,c_12,c_12,0.7716,0.6945372146606446
model_795,c_8,c_6,m_1,m_3,0.7281,0.8073756664276123
model_796,c_4,c_2,c_10,c_6,0.728,0.8847059435844421
model_797,c_6,c_9,c_6,c_6,0.7541,0.7287921837806701
model_798,c_11,c_12,m_3,c_12,0.8018,0.6082780575752258
model_799,c_12,c_6,c_11,c_5,0.7204,0.8671355300903321
model_800,c_10,c_10,c_3,c_1,0.744,0.8175996600151062
model_801,m_2,s,-,-,0.6593,0.9940353249549866
model_802,c_7,c_6,c_8,c_4,0.7439,0.7642378507614136
model_803,c_1,c_4,c_11,m_1,0.7135,0.8356865856170654
model_804,c_10,c_5,c_7,m_1,0.7012,0.8643383169174195
model_805,c_6,c_7,c_2,c_8,0.6978,0.8844993793487549
model_806,c_4,c_8,c_11,-,0.7367,0.8082852463722229
model_807,c_10,c_12,c_8,c_1,0.7179,0.8777930418968201
model_808,c_8,c_11,c_4,c_9,0.6944,1.150533206176758
model_809,c_12,m_1,c_2,s,0.7224,0.8288075828552246
model_810,c_3,c_2,c_2,s,0.6632,1.0329476385116576
model_811,c_12,c_8,c_10,c_10,0.7338,0.8281872576236725
model_812,c_9,c_11,c_1,c_10,0.7402,0.7766670684814453
