Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1201,c_9,c_4,m_1,c_5,0.7037,0.8548863054275513
model_1202,c_3,c_11,c_5,c_8,0.7279,0.7894642309188843
model_1203,c_10,m_3,c_7,c_3,0.7627,0.7215586305141449
model_1204,m_2,c_1,c_11,c_12,0.7458,0.8555853281021119
model_1205,c_6,m_2,c_2,s,0.7228,0.8173229758262635
model_1206,c_12,m_3,c_6,c_8,0.7434,0.7955034499168396
model_1207,c_9,c_2,c_3,m_3,0.7154,0.8192665898323059
model_1208,c_11,c_12,c_3,c_9,0.732,0.8476839254379273
model_1209,c_3,c_4,s,-,0.6763,0.9493582613945007
model_1210,c_12,c_3,c_7,c_12,0.7385,0.7832659954071045
model_1211,c_9,c_11,c_12,c_9,0.7462,0.8377771833419799
model_1212,c_12,c_11,m_2,c_4,0.7317,0.7753708757400513
model_1213,c_8,c_12,c_12,c_1,0.7143,0.8850316565990448
model_1214,c_2,c_12,c_2,c_3,0.7241,0.8258563445091247
model_1215,c_11,c_3,c_11,m_3,0.7592,0.7185576932907104
model_1216,c_9,c_5,c_9,c_12,0.7329,0.8414949259757996
model_1217,c_3,c_5,c_7,m_3,0.729,0.7871384796142578
model_1218,c_6,c_3,c_5,c_4,0.7283,0.796443639755249
model_1219,c_1,c_5,s,-,0.7113,0.8519745417594909
model_1220,c_2,c_4,c_9,c_8,0.7435,0.7618846831321716
model_1221,c_11,c_5,s,-,0.6822,0.9308737949371337
model_1222,c_2,c_7,m_1,c_5,0.7138,0.8776090738296509
model_1223,c_6,m_1,c_9,c_2,0.753,0.7602543838500977
model_1224,c_2,c_1,c_10,c_1,0.6883,0.9613693490028381
model_1225,c_5,c_6,c_12,c_8,0.7155,0.8323008156776428
model_1226,c_2,c_1,c_6,c_11,0.7258,0.8186143458366394
model_1227,c_11,c_10,c_9,c_8,0.6926,0.922539963054657
model_1228,c_5,c_3,c_9,c_8,0.7236,0.8403343573570251
model_1229,c_6,m_3,c_5,c_3,0.7531,0.7467407001495361
model_1230,c_2,c_9,m_1,c_11,0.747,0.8209638706207275
model_1231,c_2,c_5,s,-,0.7029,0.8936433577537537
model_1232,c_6,m_2,c_7,c_12,0.7591,0.7487848309516907
model_1233,c_4,c_4,c_1,c_11,0.6834,0.9165400074958802
model_1234,c_11,c_3,s,-,0.7255,0.8000208246231079
model_1235,c_12,m_1,s,-,0.703,0.8900160341262817
model_1236,c_8,m_3,c_3,c_1,0.7521,0.7389124351501465
model_1237,m_2,c_3,c_10,c_10,0.698,0.9036803330421448
model_1238,c_12,c_4,c_4,c_9,0.7194,0.8576954844474792
model_1239,c_11,s,-,-,0.7083,0.8567868415832519
model_1240,c_2,c_10,c_6,c_5,0.7341,0.8171454422950745
model_1241,c_6,c_5,c_6,m_2,0.7232,0.8146229663848877
model_1242,c_9,c_7,c_9,c_10,0.7072,0.8593181845664978
model_1243,c_4,c_6,c_1,s,0.7239,0.8024612595558166
