Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1405,m_2,c_11,c_4,m_1,0.705,0.8587694705
model_1406,c_2,m_1,c_8,c_9,0.7736,0.7046771322
model_1407,c_8,c_9,c_4,c_9,0.7344,0.7830589349
model_1408,c_7,c_6,c_2,m_2,0.7294,0.7801427322
model_1409,c_9,c_9,m_1,c_1,0.7373,0.7801900728
model_1410,c_5,m_2,c_2,c_7,0.677,0.9405006981
model_1411,c_5,c_1,m_3,m_1,0.7092,0.8466778724
model_1412,c_3,c_8,c_1,c_8,0.7367,0.7818339939
model_1413,c_5,c_1,c_11,c_12,0.6921,1.0064270259
model_1414,c_9,c_5,c_6,c_9,0.6985,0.8966705333
model_1415,c_1,c_2,m_2,c_2,0.7169,0.8141871968
model_1416,m_3,c_4,c_8,c_12,0.7167,0.8554015088
model_1417,c_12,c_6,s,-,0.7137,0.8401800577
model_1418,c_9,c_6,m_3,s,0.727,0.792006483
model_1419,c_1,m_2,c_5,m_3,0.718,0.8165207891
model_1420,c_5,c_6,c_1,c_2,0.6712,1.0857942703
model_1421,c_6,c_10,c_12,c_2,0.7475,0.7814339843
model_1422,c_2,c_9,c_9,s,0.7375,0.8157454439
model_1423,m_2,c_7,c_5,c_11,0.7202,0.8810535474
model_1424,c_7,c_9,c_7,c_8,0.7125,0.9081037186
model_1425,c_11,c_6,m_2,c_2,0.7481,0.7643162394
model_1426,c_3,c_11,c_4,m_1,0.7401,0.7668442963
model_1427,c_5,c_11,c_9,c_4,0.7346,0.8004438704
model_1428,c_9,c_5,m_1,m_3,0.738,0.7597188513
model_1429,c_1,c_6,c_1,m_2,0.739,0.7758603604
model_1430,c_6,m_1,m_3,c_1,0.6993,0.8616221766
model_1431,c_8,c_1,s,-,0.6837,0.9234298874
model_1432,c_10,c_7,s,-,0.7117,0.8413266377
model_1433,c_11,m_2,c_6,c_5,0.7385,0.7728996809
model_1434,c_11,c_11,m_3,s,0.7317,0.7931935945
model_1435,c_8,m_1,c_3,c_2,0.7256,0.7980574862
model_1436,c_10,c_12,s,-,0.706,0.8793762021
model_1437,c_11,c_11,c_7,m_3,0.7455,0.7757493055
model_1438,c_2,c_9,c_7,m_1,0.723,0.8068863038
model_1439,c_7,c_4,s,-,0.6994,0.8946182781
model_1440,c_7,m_3,c_1,c_2,0.7307,0.7971144855
model_1441,c_3,c_7,c_2,c_7,0.712,0.8554289878
model_1442,c_11,m_3,c_3,c_9,0.7661,0.7102178892
model_1443,c_4,c_2,c_6,c_12,0.6993,0.9195123248
model_1444,c_7,c_10,c_12,c_7,0.7422,0.7811319622
model_1445,c_1,c_5,c_7,m_3,0.7419,0.7531944425
model_1446,c_8,c_6,c_8,c_7,0.7109,0.9382096507
model_1447,c_4,c_5,m_1,c_12,0.7419,0.7535932411
model_1448,c_10,c_6,c_8,c_7,0.7404,0.7633639668
model_1449,c_3,c_8,m_1,c_1,0.7257,0.9182616983
model_1450,c_12,c_3,c_2,c_2,0.7247,0.815451955
model_1451,c_7,c_8,c_11,c_2,0.7377,0.769413621
model_1452,c_4,c_8,m_3,s,0.7362,0.7808568777
model_1453,m_3,c_2,c_5,s,0.6294,1.0746108093
model_1454,c_9,c_9,c_12,c_7,0.7545,0.7853246436
model_1455,c_1,m_2,c_8,c_1,0.7535,0.7335019248
model_1456,c_2,c_3,s,-,0.6941,0.8869233299
model_1457,c_2,c_8,c_3,m_3,0.7081,0.8614555983
model_1458,c_9,m_2,c_7,c_4,0.7465,0.753491062
model_1459,c_2,c_7,c_12,c_6,0.7155,0.8847771546
model_1460,c_10,m_2,s,-,0.6796,0.9340165803
model_1461,c_3,m_1,c_7,c_9,0.7416,0.8156670705
model_1462,c_2,c_1,m_2,c_8,0.7056,0.8649997373
model_1463,c_5,c_2,c_5,c_9,0.7238,0.8053322013
model_1464,c_9,c_12,c_9,c_11,0.7662,0.724366151
model_1465,c_7,c_10,c_3,m_1,0.7227,0.8311607223
model_1466,c_10,c_11,c_1,c_10,0.7374,0.8067262404
model_1467,c_12,m_1,m_1,c_11,0.7522,0.7385131767
model_1468,c_12,c_2,c_7,s,0.7214,0.8039694069
model_1469,c_3,c_11,c_10,c_11,0.6957,0.9301555909
model_1470,c_1,c_5,c_6,c_10,0.6783,1.0345636516
model_1471,c_11,m_2,m_2,c_10,0.7579,0.7428108176
model_1472,c_1,m_1,c_8,m_3,0.6787,0.9079682665
model_1473,c_5,c_3,m_1,c_9,0.7389,0.7677965093
model_1474,c_5,c_7,s,-,0.6907,0.9214626517
model_1475,c_10,m_1,c_5,s,0.73,0.7904115217
model_1476,c_7,c_3,c_4,c_1,0.6898,0.9743032393
model_1477,c_12,c_1,c_5,c_6,0.6807,0.9331054158
model_1478,c_3,m_3,c_10,c_4,0.7371,0.7976180466
model_1479,c_10,m_1,s,-,0.6759,0.9399099034
model_1480,c_9,c_10,c_8,c_11,0.7265,0.8385607628
model_1481,c_12,c_3,m_3,c_12,0.7521,0.7178870702
model_1482,c_1,c_8,c_5,c_11,0.7195,0.8520049053
model_1483,c_2,c_6,c_9,c_4,0.7252,0.8132739946
model_1484,c_4,c_6,m_1,c_11,0.7292,0.8434698656
model_1485,c_7,c_6,m_3,c_12,0.7357,0.7814813828
model_1486,c_7,c_1,c_3,c_3,0.7481,0.7481893538
model_1487,c_7,c_10,c_10,c_11,0.7073,0.8542714598
model_1488,c_3,c_3,c_3,m_1,0.6889,0.9051184727
model_1489,c_11,c_7,c_4,c_10,0.7286,0.8185758454
model_1490,c_1,c_6,s,-,0.684,0.9598099155
model_1491,c_5,c_11,c_11,c_4,0.6983,0.8822168702
model_1492,m_3,c_9,c_11,s,0.6876,0.9220042838
model_1493,c_6,c_8,c_7,c_2,0.7218,0.8189053672
model_1494,c_11,c_7,c_7,s,0.7124,0.8556330379
model_1495,c_5,m_3,c_8,c_6,0.7322,0.7941829334
model_1496,c_4,c_4,m_2,c_4,0.6799,0.9471903784
model_1497,c_5,c_12,c_12,c_12,0.7309,0.8424393962
model_1498,c_10,m_1,c_9,c_11,0.7719,0.7163165995
model_1499,c_5,c_7,c_3,c_6,0.7155,0.8433741025
model_1500,c_8,c_3,c_9,m_2,0.7542,0.7334012527
model_1501,c_7,c_10,c_3,c_3,0.7222,0.8407313009
model_1502,c_10,c_12,s,-,0.7211,0.8308330507
model_1503,m_2,c_9,c_3,s,0.6951,0.9190976753
model_1504,c_7,c_11,c_8,c_4,0.7148,0.8499813066
model_1505,c_6,c_1,c_1,c_3,0.7273,0.8426747316
model_1506,c_11,c_6,c_5,c_8,0.7375,0.7789954348
model_1507,c_4,c_7,c_11,m_1,0.7291,0.8230801157
model_1508,c_7,m_1,c_10,s,0.7019,0.9110783421
model_1509,c_10,c_10,c_10,c_10,0.7001,0.8799705035
model_1510,c_7,c_2,m_2,c_1,0.7123,0.8911453798
model_1511,c_10,m_2,c_4,c_11,0.766,0.7056678157
model_1512,c_7,c_10,s,-,0.654,1.0063685571
model_1513,c_7,c_6,c_11,m_2,0.723,0.838965756
model_1514,c_6,c_8,c_6,s,0.723,0.83205348
model_1515,c_12,c_12,c_3,m_3,0.7665,0.7173834193
model_1516,c_3,c_8,s,-,0.6909,0.9200919061
model_1517,c_2,c_6,c_5,c_11,0.7233,0.8048975792
model_1518,c_12,m_3,c_8,c_6,0.7638,0.7135346032
model_1519,c_6,m_3,c_9,m_2,0.7261,0.7827118906
model_1520,c_9,c_7,s,-,0.6685,0.995799735
model_1521,c_5,c_6,c_3,c_8,0.736,0.7795859186
model_1522,c_9,c_5,c_2,m_1,0.7392,0.7744453037
model_1523,c_12,m_2,c_1,c_1,0.7329,0.8027265525
model_1524,c_3,c_4,c_9,c_6,0.6755,0.9259553222
model_1525,c_4,c_5,c_10,c_11,0.685,0.9344112871
model_1526,c_5,m_3,c_4,c_5,0.735,0.7927066408
model_1527,c_6,c_7,c_2,c_1,0.6972,0.8970665266
model_1528,c_7,c_8,c_11,c_2,0.7344,0.7762379347
model_1529,c_1,c_9,m_1,c_9,0.7646,0.7128295019
model_1530,c_1,c_4,m_1,c_3,0.7131,0.8577371961
model_1531,c_8,m_3,c_9,c_12,0.7845,0.6659585208
model_1532,c_5,m_2,c_3,c_10,0.7265,0.818124239
model_1533,c_10,c_10,c_3,c_2,0.7414,0.7779434106
model_1534,c_12,c_2,c_12,m_2,0.7423,0.7626180931
model_1535,c_6,c_9,c_2,c_8,0.7323,0.8101150307
model_1536,c_10,m_1,c_4,c_11,0.739,0.7732443058
model_1537,c_2,c_12,c_1,m_2,0.7231,0.8103874974
model_1538,c_6,c_5,s,-,0.7235,0.8606172226
model_1539,c_1,c_9,c_9,c_4,0.715,0.8576064131
model_1540,c_10,c_5,c_10,c_6,0.7262,0.8141283049
model_1541,c_2,m_2,m_2,c_9,0.7491,0.7753818288
model_1542,m_3,c_2,c_8,m_2,0.6998,0.8820414795
model_1543,c_2,m_1,c_11,c_9,0.7627,0.7243173011
model_1544,c_12,c_7,c_1,c_3,0.7462,0.7590766714
model_1545,c_8,c_6,c_10,c_4,0.7235,0.8183543303
model_1546,c_4,c_4,c_2,c_10,0.7056,0.8688353785
model_1547,c_10,s,-,-,0.6805,0.9376375954
model_1548,m_1,c_3,m_2,s,0.6867,0.9185542938
model_1549,c_10,c_8,c_11,c_9,0.7071,0.9250232704
model_1550,c_2,c_2,c_2,c_2,0.7023,0.9087733494
model_1551,c_11,c_9,c_2,c_11,0.7238,0.8402155328
model_1552,c_6,c_6,c_5,c_4,0.71,0.8619048816
model_1553,c_2,c_6,c_1,c_12,0.7134,0.8425831398
model_1554,c_7,c_12,c_4,c_2,0.7547,0.7554562722
model_1555,c_3,c_11,c_6,m_2,0.7095,0.8423264822
model_1556,c_2,m_2,c_11,c_7,0.7297,0.886047211
model_1557,c_2,c_11,c_1,m_1,0.7181,0.8346988832
model_1558,c_4,c_5,c_6,c_5,0.7202,0.839460664
model_1559,c_7,m_2,c_6,c_4,0.7163,0.8201699578
model_1560,c_6,c_8,c_1,c_7,0.7109,0.841605378
model_1561,c_3,c_3,c_1,c_1,0.6979,0.889772583
model_1562,c_2,c_8,m_3,c_4,0.7349,0.7659013645
model_1563,c_12,c_3,c_6,c_6,0.7553,0.7685099776
model_1564,c_12,c_11,m_3,c_4,0.7594,0.7079290044
model_1565,c_2,c_8,c_12,c_5,0.7401,0.7950368798
model_1566,c_11,c_4,c_4,s,0.711,0.8548653651
model_1567,c_7,c_12,s,-,0.7261,0.8198903063
model_1568,c_11,c_9,m_3,c_9,0.7782,0.6462198763
model_1569,c_5,c_11,c_12,c_2,0.7396,0.7768695555
model_1570,c_4,c_7,m_1,c_4,0.6939,0.8848832094
model_1571,c_5,m_2,m_3,m_1,0.6797,0.9699206633
model_1572,c_2,c_1,c_10,c_8,0.7034,0.8915609694
model_1573,c_1,c_3,c_6,c_3,0.7183,0.8998389707
model_1574,c_8,c_3,c_7,c_4,0.7326,0.777879619
model_1575,c_1,c_6,c_7,s,0.7159,0.8354594097
model_1576,c_6,c_5,c_5,c_5,0.7444,0.761924319
model_1577,c_6,c_8,m_2,c_8,0.7472,0.7397511327
model_1578,c_4,c_6,m_2,c_8,0.7342,0.8090845208
model_1579,c_2,c_6,c_7,c_2,0.7154,0.854589181
model_1580,c_10,m_2,c_8,c_4,0.764,0.700318581
model_1581,c_7,m_3,c_6,m_2,0.7416,0.7585609003
model_1582,c_5,m_3,c_1,c_3,0.7146,0.8643525601
model_1583,c_10,m_3,m_3,s,0.712,0.8276445504
model_1584,c_5,c_9,c_8,m_1,0.7304,0.8027694268
model_1585,c_10,c_5,c_9,c_7,0.7207,0.8538769686
model_1586,c_8,m_3,c_12,c_4,0.7629,0.7034566607
model_1587,c_1,c_2,c_5,c_10,0.696,0.9044849621
model_1588,c_2,c_2,c_10,c_8,0.7443,0.7764781707
model_1589,c_12,c_6,s,-,0.7285,0.8010381582
model_1590,c_9,c_4,c_6,c_4,0.7182,0.793753819
model_1591,c_4,c_10,c_4,c_6,0.7231,0.80772789
model_1592,c_3,m_2,c_8,c_9,0.7387,0.7942846444
model_1593,m_2,m_2,c_4,c_6,0.5937,1.1657395552
model_1594,c_1,c_1,c_11,c_6,0.7271,0.8297973987
model_1595,c_6,m_1,c_5,c_3,0.7177,0.8196068937
model_1596,c_2,c_9,c_5,c_9,0.7506,0.765457768
model_1597,c_2,c_6,c_10,m_1,0.7369,0.7845761182
model_1598,c_3,c_4,c_8,m_3,0.721,0.8336628502
model_1599,c_9,c_3,s,-,0.7001,0.8714376852
model_1600,c_12,c_7,s,-,0.6914,0.9043684228
model_1601,c_5,c_7,c_4,c_1,0.6426,1.021962195
model_1602,c_10,c_5,c_8,c_9,0.7508,0.7779922437
model_1603,c_4,c_8,c_2,c_12,0.7279,0.8008663216
model_1604,c_10,c_12,c_10,c_3,0.7547,0.7271948125
model_1605,c_10,m_1,m_2,c_5,0.7354,0.77248395
model_1606,c_8,c_2,c_7,c_4,0.7048,0.8648912992
model_1607,c_3,c_7,c_7,c_4,0.7325,0.8044449491
model_1608,c_8,m_3,c_10,c_5,0.753,0.7479953909
model_1609,c_6,c_4,m_2,s,0.6893,0.9090478106
model_1610,c_7,c_1,c_12,c_3,0.7051,0.8701570437
model_1611,c_3,c_4,c_7,s,0.7086,0.8675190752
model_1612,c_8,c_8,s,-,0.7161,0.8619147259
model_1613,c_7,c_12,m_1,c_9,0.7409,0.7595727797
model_1614,c_8,s,-,-,0.6789,0.963030154
model_1615,c_8,c_9,m_1,m_2,0.6974,0.8943244023
model_1616,c_5,c_12,s,-,0.6945,0.8975676877
model_1617,c_12,c_7,c_2,c_3,0.7282,0.8326362367
model_1618,c_12,c_5,c_11,c_5,0.7319,0.8549379885
model_1619,c_1,c_1,c_8,c_7,0.7287,0.8156379168
model_1620,c_10,c_10,c_5,c_6,0.7144,0.8397359785
model_1621,c_11,c_5,c_7,m_2,0.7345,0.7882099216
model_1622,c_8,c_2,c_7,c_3,0.714,0.8834255079
model_1623,c_2,c_7,c_12,c_5,0.728,0.8892706678
model_1624,c_8,c_1,m_1,m_3,0.7003,0.8804244267
model_1625,m_1,c_6,c_8,c_10,0.6903,0.905122327
model_1626,c_8,m_3,c_5,c_4,0.7478,0.7391713275
model_1627,c_5,c_12,c_8,c_6,0.7355,0.7691480504
model_1628,c_9,c_6,c_11,c_6,0.7271,0.8913134606
model_1629,c_12,c_1,c_6,c_1,0.7349,0.7821212946
model_1630,c_3,s,-,-,0.6919,0.9615441473
model_1631,c_1,c_11,c_2,c_1,0.738,0.7827855728
model_1632,c_8,c_11,c_7,m_2,0.7435,0.7699223903
model_1633,c_7,c_3,c_3,m_1,0.7384,0.7740394232
model_1634,c_1,c_10,c_12,c_9,0.7446,0.7692582608
model_1635,c_4,c_7,c_9,c_4,0.7097,0.8694775596
model_1636,c_9,m_1,c_7,c_4,0.7319,0.7967828585
model_1637,c_1,m_3,m_1,s,0.701,0.8584589531
model_1638,c_11,c_4,c_11,m_1,0.7,0.8545227153
model_1639,c_1,s,-,-,0.6678,0.9662022907
model_1640,c_5,m_2,c_7,c_11,0.7451,0.7801181187
model_1641,c_4,s,-,-,0.6725,0.976548843
model_1642,c_3,c_3,c_5,c_9,0.748,0.7460270765
model_1643,c_1,c_8,m_3,c_8,0.7562,0.7250076348
model_1644,c_12,m_1,c_10,s,0.7347,0.8385306963
model_1645,c_5,c_7,m_1,m_3,0.7199,0.7875932761
model_1646,c_11,c_2,c_8,m_3,0.6865,0.9093677519
model_1647,c_9,m_2,m_3,c_8,0.7296,0.7913856536
model_1648,c_3,c_7,c_1,c_8,0.7011,0.8917537936
model_1649,c_4,m_2,c_12,m_1,0.7434,0.7408069583
model_1650,c_4,c_9,m_1,c_9,0.7285,0.8043464636
model_1651,c_2,c_1,c_12,m_3,0.7318,0.7879382739
model_1652,c_9,c_8,c_6,c_6,0.7534,0.7507214083
model_1653,c_5,c_11,c_5,m_2,0.6924,0.9003827227
model_1654,c_11,c_2,c_9,c_1,0.7374,0.764545168
model_1655,c_10,c_7,c_6,s,0.7399,0.8040362428
model_1656,c_9,c_7,c_10,c_8,0.7207,0.8459295054
model_1657,c_9,m_2,c_3,c_4,0.7511,0.7501631223
model_1658,c_7,c_3,c_10,m_2,0.7139,0.8433853365
model_1659,m_2,s,-,-,0.6803,0.9349732291
model_1660,c_10,m_1,c_2,c_7,0.7293,0.8125205677
model_1661,c_10,c_2,c_11,s,0.7298,0.8101006259
model_1662,c_4,c_6,m_1,c_9,0.7449,0.7659846691
model_1663,c_4,c_6,c_4,c_4,0.6641,0.9854546788
model_1664,c_12,c_9,c_7,s,0.7481,0.759815161
model_1665,c_6,c_7,c_4,c_1,0.7127,0.8467045276
model_1666,c_3,c_4,c_1,c_7,0.7095,0.8516990155
model_1667,c_10,m_3,c_2,m_1,0.7399,0.7571481696
model_1668,c_9,c_2,c_1,m_2,0.7165,0.8267822454
model_1669,c_4,c_6,c_9,c_10,0.7343,0.7826547118
model_1670,c_6,m_3,c_8,s,0.7381,0.7739884102
model_1671,c_4,c_6,m_1,m_3,0.7348,0.7779140927
model_1672,c_1,c_12,c_7,c_7,0.731,0.8197107332
model_1673,c_9,c_8,c_1,s,0.7216,0.8407952795
model_1674,c_2,c_1,c_12,c_9,0.7382,0.7760415648
model_1675,c_7,c_2,c_3,m_2,0.714,0.8254394261
model_1676,c_3,c_3,c_10,c_9,0.7396,0.7805715912
model_1677,c_12,c_6,c_5,s,0.7257,0.8286630089
model_1678,c_6,m_1,c_7,c_5,0.7432,0.7868932047
model_1679,c_1,c_7,c_3,c_12,0.7448,0.7979235147
model_1680,c_9,s,-,-,0.6974,0.8855017164
model_1681,c_5,m_3,c_3,c_7,0.7265,0.7913383373
model_1682,c_2,c_5,c_2,c_2,0.7248,0.8193752006
model_1683,c_7,m_1,c_4,c_7,0.7054,0.8582093997
model_1684,c_6,c_4,c_5,c_1,0.6886,0.9118706909
model_1685,c_9,c_4,s,-,0.7052,0.8803749724
model_1686,c_12,c_3,c_2,c_1,0.7275,0.7976920635
model_1687,c_1,m_3,c_11,c_2,0.738,0.7620108969
model_1688,c_3,c_10,m_1,c_6,0.7294,0.8031685129
model_1689,c_10,m_3,m_3,c_1,0.7247,0.8120008371
model_1690,c_6,c_5,c_3,c_8,0.7208,0.8414889071
model_1691,c_10,c_3,c_11,c_11,0.7209,0.8433535183
model_1692,c_3,m_3,c_2,s,0.7363,0.7631773587
model_1693,c_5,c_11,m_3,m_2,0.7381,0.7444478851
model_1694,c_3,c_12,c_3,m_2,0.6993,0.8715523683
model_1695,c_10,c_9,c_3,c_12,0.7478,0.7542693448
model_1696,c_12,c_12,c_3,c_5,0.7529,0.7397268837
model_1697,c_4,c_11,m_2,m_1,0.7354,0.7732309641
model_1698,c_11,c_11,c_6,c_7,0.7227,0.8183976976
model_1699,c_2,c_10,c_5,c_5,0.7538,0.8121102099
model_1700,c_12,c_3,c_7,m_1,0.7288,0.7947791016
model_1701,c_9,c_2,s,-,0.6967,0.9190055837
model_1702,c_12,m_1,c_7,c_2,0.7329,0.849814771
model_1703,c_2,c_11,c_4,c_10,0.7356,0.7973374068
model_1704,c_3,c_5,s,-,0.7028,0.8758703238
model_1705,c_7,m_3,c_9,c_6,0.755,0.7438230021
model_1706,m_3,c_9,m_2,c_7,0.6893,0.9040868711
model_1707,c_4,c_5,c_6,c_2,0.6987,0.8785711677
model_1708,c_4,c_7,c_10,c_6,0.7406,0.7766357836
model_1709,c_10,m_2,c_12,c_8,0.7704,0.7242753376
model_1710,c_3,c_1,s,-,0.6814,0.9249943755
model_1711,c_11,c_7,c_8,c_3,0.7443,0.7715343966
model_1712,c_1,c_11,c_11,c_1,0.7142,0.8764856316
model_1713,c_7,c_3,c_6,c_1,0.7183,0.8288707768
model_1714,c_11,c_8,c_12,m_3,0.7432,0.7858569288
model_1715,c_9,m_1,c_10,c_4,0.7459,0.7662300817
model_1716,c_8,c_3,c_9,m_1,0.7396,0.7936420248
model_1717,c_2,c_6,c_1,s,0.7133,0.8509219554
model_1718,m_1,c_6,c_8,c_3,0.6942,0.9627035814
model_1719,c_8,c_12,m_2,c_3,0.7759,0.6801605552
model_1720,c_1,c_6,c_8,c_1,0.7368,0.8021859384
model_1721,c_3,c_9,m_2,m_3,0.7526,0.7388050617
model_1722,c_3,c_1,c_8,m_2,0.7019,0.8703375616
model_1723,c_11,c_2,c_4,c_3,0.7385,0.7667006388
